Received date,Animals affected,Animals died
2022-09-28,14,1.0
2022-09-29,10,0.0
2022-09-30,9,1.0
2022-10-03,9,0.0
2022-10-04,13,0.0
2022-10-05,13,2.0
2022-10-06,17,2.0
2022-10-07,12,1.0
2022-10-10,7,1.0
2022-10-11,11,1.0
2022-10-12,9,1.0
2022-10-13,8,0.0
2022-10-14,8,0.0
2022-10-17,15,0.0
2022-10-18,12,3.0
2022-10-19,10,0.0
2022-10-20,13,2.0
2022-10-21,1,0.0
2022-10-24,5,0.0
2022-10-25,7,1.0
2022-10-26,10,0.0
2022-10-27,6,0.0
2022-10-28,6,0.0
2022-10-31,17,1.0
2022-11-01,12,1.0
2022-11-02,18,0.0
2022-11-03,14,2.0
2022-11-04,5,1.0
2022-11-07,23,1.0
2022-11-08,6,0.0
2022-11-09,12,0.0
2022-11-10,12,1.0
2022-11-11,14,0.0
2022-11-14,20,0.0
2022-11-15,7,0.0
2022-11-16,12,3.0
2022-11-17,14,3.0
2022-11-18,7,1.0
2022-11-21,8,0.0
2022-11-22,11,1.0
2022-11-23,13,1.0
2022-11-24,12,1.0
2022-11-25,13,0.0
2022-11-28,10,0.0
2022-11-29,12,1.0
2022-11-30,11,0.0
2022-12-01,7,0.0
2022-12-02,9,0.0
2022-12-05,9,0.0
2022-12-06,11,0.0
2022-12-07,10,1.0
2022-12-08,8,0.0
2022-12-09,5,1.0
2022-12-12,2,0.0
2022-12-13,6,1.0
2022-12-14,13,1.0
2022-12-15,13,1.0
2022-12-16,7,0.0
2022-12-19,10,1.0
2022-12-20,20,2.0
2022-12-21,9,0.0
2022-12-22,14,1.0
2022-12-23,5,0.0
2022-12-26,11,1.0
2022-12-27,11,0.0
2022-12-28,8,0.0
2022-12-29,10,0.0
2022-12-30,10,1.0
2023-01-02,10,0.0
2023-01-03,16,3.0
2023-01-04,13,0.0
2023-01-05,13,2.0
2023-01-06,5,0.0
2023-01-09,15,0.0
2023-01-10,12,3.0
2023-01-11,16,0.0
2023-01-12,8,0.0
2023-01-13,8,1.0
2023-01-16,4,0.0
2023-01-17,2,0.0
2023-01-18,6,1.0
2023-01-19,16,2.0
2023-01-20,3,2.0
2023-01-23,5,0.0
2023-01-24,7,1.0
2023-01-25,1,1.0
2023-01-26,1,0.0
2023-01-27,3,0.0
2023-01-30,4,1.0
2023-01-31,2,0.0
2023-02-01,9,1.0
2023-02-02,6,0.0
2023-02-03,2,0.0
2023-02-06,1,0.0
2023-02-07,12,1.0
2023-02-08,7,2.0
2023-02-09,9,1.0
2023-02-10,6,0.0
2023-02-13,7,0.0
2023-02-14,9,0.0
2023-02-15,9,0.0
2023-02-16,8,1.0
2023-02-17,4,0.0
2023-02-20,16,1.0
2023-02-21,7,0.0
2023-02-22,11,0.0
2023-02-23,12,1.0
2023-02-24,9,1.0
2023-02-27,16,1.0
2023-02-28,7,0.0
2023-03-01,14,0.0
2023-03-02,7,0.0
2023-03-03,10,2.0
2023-03-06,14,0.0
2023-03-07,13,0.0
2023-03-08,15,1.0
2023-03-09,11,4.0
2023-03-10,5,0.0
2023-03-12,1,0.0
2023-03-13,16,0.0
2023-03-14,19,0.0
2023-03-15,8,1.0
2023-03-16,15,2.0
2023-03-17,3,0.0
2023-03-20,10,1.0
2023-03-21,13,1.0
2023-03-22,15,0.0
2023-03-23,11,1.0
2023-03-24,13,2.0
2023-03-27,10,1.0
2023-03-28,13,0.0
2023-03-29,7,0.0
2023-03-30,16,0.0
2023-03-31,6,0.0
2023-04-03,6,0.0
2023-04-04,8,0.0
2023-04-05,15,0.0
2023-04-06,9,2.0
2023-04-07,3,0.0
2023-04-10,18,1.0
2023-04-11,9,1.0
2023-04-12,6,0.0
2023-04-13,17,0.0
